ID_1,NAME_1,ID_2,NAME_2,lat_bin,lon_bin
YRD,Jiangsu,9930,Nantong,32,121.25
YRD,Jiangsu,9930,Nantong,32,121
YRD,Jiangsu,9930,Nantong,32.25,120.5
YRD,Jiangsu,9930,Nantong,32.25,121.25
YRD,Jiangsu,9930,Nantong,32.25,121
YRD,Jiangsu,9930,Nantong,32.25,120.75
YRD,Jiangsu,9930,Nantong,32.5,120.75
YRD,Jiangsu,9930,Nantong,32.5,121
YRD,Jiangsu,9930,Nantong,32.5,120.5
YRD,Jiangsu,9932,Suzhou,31.5,121.25
YRD,Jiangsu,9932,Suzhou,31,120.75
YRD,Jiangsu,9932,Suzhou,31.25,120.25
YRD,Jiangsu,9932,Suzhou,31.25,120.5
YRD,Jiangsu,9932,Suzhou,31.25,121
YRD,Jiangsu,9932,Suzhou,31.25,120.75
YRD,Jiangsu,9932,Suzhou,31.5,121
YRD,Jiangsu,9932,Suzhou,31.5,120.75
YRD,Jiangsu,9932,Suzhou,31.75,121
YRD,Jiangsu,9932,Suzhou,31.75,120.75
YRD,Jiangsu,9932,Suzhou,32,120.75
YRD,Jiangsu,9932,Suzhou,32,120.5
YRD,Jiangsu,9932,Suzhou,31,120.5
YRD,Jiangsu,9932,Suzhou,31,120.25
YRD,Jiangsu,9933,Taizhou,32,120
YRD,Jiangsu,9933,Taizhou,32,120.25
YRD,Jiangsu,9933,Taizhou,32.25,120.25
YRD,Jiangsu,9933,Taizhou,32.25,120
YRD,Jiangsu,9933,Taizhou,32.5,120.25
YRD,Jiangsu,9933,Taizhou,32.5,120
YRD,Jiangsu,9933,Taizhou,32.75,120
YRD,Jiangsu,9933,Taizhou,33,119.75
YRD,Jiangsu,9933,Taizhou,33,120
YRD,Jiangsu,9933,Taizhou,33,120.25
YRD,Jiangsu,9934,Wuxi,31.25,120
YRD,Jiangsu,9934,Wuxi,31.25,119.75
YRD,Jiangsu,9934,Wuxi,31.5,120.25
YRD,Jiangsu,9934,Wuxi,31.5,120.5
YRD,Jiangsu,9934,Wuxi,31.5,120
YRD,Jiangsu,9934,Wuxi,31.5,119.75
YRD,Jiangsu,9934,Wuxi,31.75,120.25
YRD,Jiangsu,9934,Wuxi,31.75,120.5
YRD,Jiangsu,9936,Yancheng,32.75,120.75
YRD,Jiangsu,9936,Yancheng,32.75,120.5
YRD,Jiangsu,9936,Yancheng,32.75,120.25
YRD,Jiangsu,9936,Yancheng,33,120.75
YRD,Jiangsu,9936,Yancheng,33,120.5
YRD,Jiangsu,9936,Yancheng,33.25,120
YRD,Jiangsu,9936,Yancheng,33.25,120.5
YRD,Jiangsu,9936,Yancheng,33.25,120.25
YRD,Jiangsu,9936,Yancheng,33.25,119.75
YRD,Jiangsu,9936,Yancheng,33.5,119.75
YRD,Jiangsu,9936,Yancheng,33.5,120.5
YRD,Jiangsu,9936,Yancheng,33.5,120
YRD,Jiangsu,9936,Yancheng,33.5,120.25
YRD,Jiangsu,9936,Yancheng,33.75,120
YRD,Jiangsu,9936,Yancheng,33.75,119.75
YRD,Jiangsu,9936,Yancheng,33.75,120.25
YRD,Jiangsu,9936,Yancheng,33.75,120.5
YRD,Jiangsu,9936,Yancheng,34,120.25
YRD,Jiangsu,9936,Yancheng,34,119.75
YRD,Jiangsu,9936,Yancheng,34,120
YRD,Jiangsu,9936,Yancheng,34.25,120.25
YRD,Jiangsu,9936,Yancheng,34.25,120
YRD,Jiangsu,9937,Yangzhou,32.25,119.25
YRD,Jiangsu,9937,Yangzhou,32.5,119.25
YRD,Jiangsu,9937,Yangzhou,32.5,119.5
YRD,Jiangsu,9937,Yangzhou,32.75,119.25
YRD,Jiangsu,9937,Yangzhou,33.25,119.25
YRD,Jiangsu,9937,Yangzhou,33.25,119.5
YRD,Jiangsu,9937,Yangzhou,32.5,119.75
YRD,Jiangsu,9937,Yangzhou,32.75,119.75
YRD,Jiangsu,9937,Yangzhou,32.75,119.5
YRD,Jiangsu,9937,Yangzhou,33,119.5
YRD,Jiangsu,9938,Zhenjiang,31.75,119.25
YRD,Jiangsu,9938,Zhenjiang,32,119.25
YRD,Jiangsu,9938,Zhenjiang,32.25,119.5
YRD,Jiangsu,9938,Zhenjiang,32,119.75
YRD,Jiangsu,9938,Zhenjiang,32,119.5
YRD,Jiangsu,9938,Zhenjiang,32.25,119.75
YRD,Anhui,9764,Anqing,30.75,116.25
YRD,Anhui,9764,Anqing,30.75,116
YRD,Anhui,9764,Anqing,31,116.5
YRD,Anhui,9764,Anqing,31,117
YRD,Anhui,9764,Anqing,31,116.75
YRD,Anhui,9764,Anqing,31.25,117
YRD,Anhui,9764,Anqing,30,116.25
YRD,Anhui,9764,Anqing,30,116.5
YRD,Anhui,9764,Anqing,30.25,116.75
YRD,Anhui,9764,Anqing,30.25,116.5
YRD,Anhui,9764,Anqing,30.25,116.25
YRD,Anhui,9764,Anqing,30.5,116.5
YRD,Anhui,9764,Anqing,30.5,116.75
YRD,Anhui,9764,Anqing,30.5,117
YRD,Anhui,9764,Anqing,30.5,116
