,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area,index_right,lat_bin,lon_bin,AMR_lowest,AMR_surf,AOD,B4LI,CAPE,CAPE_lowest,CAPE_nc,CAPE_surf,CCN_0.5_cm3,CCN_0.5_mg,CCN_1.0_cm3,CCN_1.0_mg,CIN0,CIN180,CIN255,Cloud_fra,D14_0.5,D14_1.0,Frac_CLD,Frac_Re,GH1000,GH500,GH700,GH850,H14_0.5,H14_1.0,H14s_0.5,H14s_1.0,HGT,H_LCL_lowest,H_LCL_nc,H_LCL_surf,H_tro,Have,Hcb0.5,Hcb1.0,Hcbs0.5,Hcbs1.0,Hmax,Hmin,Hsd,Htop0.5,Htop1.0,L/S,LSM,LTS,Mean_Cv,Mean_Re,Ndelta0.5,Ndelta1.0,PBLH,PR,PTEM700,PTEMS,PW,P_LCL_nc,P_tro,Pcb0.5,Pcb1.0,Press,Ptop0.5,Ptop1.0,RH2,RH2m,Recb0.5,Recb1.0,Retop0.5,Retop1.0,SH2,SLI,SMR_lowest,SMR_surf,SRH,SST,SS_0.5_mg,SS_1.0_mg,T1000,T14_0.5,T14_1.0,T2m,T2m_NCEP,T500,T700,T850,TD2,TOZONE,TSURF,T_LCL_lowest,T_LCL_nc,T_LCL_surf,T_coal0.5,T_coal1.0,T_diff0.5,T_diff1.0,T_glac0.5,T_glac1.0,T_mix0.5,T_mix1.0,T_rain0.5,T_rain1.0,T_tro,Tb_f,Tcb0.5,Tcb1.0,Tsfc_NPP,Tskin,Tskin_NCEP,Ttop0.5,Ttop1.0,U10m(m/s),V10m(m/s),WDIR10,WDIR1000,WDIR500,WDIR700,WDIR850,WDIR900,WDIR925,WSPD10,WSPD1000,WSPD500,WSPD700,WSPD850,WSPD900,WSPD925,Wb_0.5,Wb_1.0,big_c,big_r,btd_a_0.5,btd_a_1.0,btd_c_0.5,btd_c_1.0,btd_m_0.5,btd_m_1.0,colum,lat,lon,relaz,row,satz,solz,sound_D(km),sound_ID,sound_hour,sumN_0.5,sumN_0.5_sumN_1.0,sumN_1.0,winNO
0,45,CHN,China,602,Zhejiang,10098,Hangzhou,H锟絥gzhou,???,,,1,Prefecture City,Unknown,Present,,8.960808,1.594394,3449,29.5,119.25,18.65,18.65,,-1.0466666539510092,733.0,638.68,709.0,1512.35,987.6666666666665,969.6666666666665,973.3333333333335,955.3333333333335,-20.498333318779867,-31.591666668653488,-24.58800000548363,0.1313,2461.5,2308.0,0.2260666666666667,0.14538333333333334,39.171667035420725,5860.103291015626,3114.2633544921882,1466.9566430664065,4855.0,4855.0,3859.5,3808.0,320.3333333333333,330.33,1196.3333333333333,330.33,16544.666666666668,282.0,1745.5,1816.166666666667,1579.5,1613.5,812.5,25.5,156.66666666666666,6088.0,6088.0,1.0,1.0,7.899999926884968,-0.3501666666666667,11.415,438.66666666666674,460.83333333333326,1593.2116577148438,0.011666666753590108,41.84166422526044,33.94333394368491,45.10000057220458,841.8333333333335,103.33333333333331,823.5,817.5,967.6666666666665,509.33333333333326,509.33333333333326,54.91666514078776,57.33333333333334,7.583333333333332,7.916666666666668,17.3,17.3,0.01833333299805721,-1.5916667160888514,19.9,19.9,31.181999969482426,,0.27,0.2933333333333334,32.693330891927104,3.0,3.0,30.95,29.61,931.5383384195967,11.30833435058596,214.93666320800773,20.648004150390648,288.97999471028646,32.523332722981785,24.1,19.066666666666666,24.1,16.333333333333332,15.833333333333336,16.666666666666668,16.0,,,-9.0,-9.0,,,-73.93333333333331,18.0,18.33333333333333,18.0,29.0,32.166666666666664,30.91833333333333,-5.833333333333332,-5.833333333333332,-1.4033333333333335,-0.8483333333333333,54.40000000000001,48.50333333333333,80.775,86.18166666666669,49.29500000000001,83.41999999999999,48.42166666666667,5.358333345254263,3.1066667254765825,9.29500011444092,6.67166664759318,4.715000052452088,13.620000146230064,4.188333361943562,1.4216666666666669,1.4516666666666669,3952.0,3984.0,1436.0,1436.0,1283.1666666666667,1283.1666666666667,152.83333333333334,152.83333333333334,3808.0,29.597700000000003,119.35078333333335,54.37000000000001,3856.0,16.22,21.406666666666666,97.82,58633.0,14.0,1210.8333333333333,1.0083333333333333,1210.0,17356.5
0,45,CHN,China,602,Zhejiang,10098,Hangzhou,H锟絥gzhou,???,,,1,Prefecture City,Unknown,Present,,8.960808,1.594394,3450,29.5,119.5,,,,-2.8933332443237307,1546.666666666667,,1080.6666666666667,,1412.666666666667,1371.0,1412.666666666667,1371.0,-0.9633333683013916,-2.5799999237060547,-1.1599999666213991,0.20346666666666668,3616.0,3616.0,0.21863333333333332,0.2057,31.729999313354487,5873.213352864584,3122.7666406250005,1466.1299967447915,5572.5,5572.5,4457.0,4457.0,196.0,,1321.3666666666666,,16345.0,351.33333333333326,1202.3333333333333,1202.3333333333333,1094.6666666666667,1094.6666666666667,1129.6666666666667,11.0,210.33333333333331,5192.0,5192.0,1.0,1.0,8.450000171661378,-0.5893333333333333,9.6,559.0,570.6666666666666,1447.4166845703126,0.03666666646798452,43.033330485026056,34.58333333333335,50.833333841959636,841.3333333333335,107.33333333333331,876.3333333333335,876.3333333333335,980.3333333333335,545.0,545.0,61.53333435058594,55.0,6.2,6.2,13.566666666666665,13.566666666666665,0.019999999701976776,-3.64333332379659,,,6.300000190734866,,0.12333333333333335,0.12333333333333335,33.55999348958335,0.0,0.0,33.53333333333334,33.056666666666665,1865.6266666666668,12.383337402343766,411.64999999999986,23.700006103515648,286.23333333333335,33.350002034505216,,20.4,,21.0,21.0,22.0,22.0,,,,,,,-75.56666666666666,22.33333333333333,22.33333333333333,22.33333333333333,35.0,35.0,34.49,1.6666666666666667,1.6666666666666667,-2.24,-1.8733333333333335,70.40666666666667,54.39333333333334,76.29333333333334,60.65666666666666,50.36666666666667,52.64000000000001,53.29,7.306666628519694,3.509999963442484,6.0433332538604745,6.316666615804036,5.089999977747599,4.950000041325887,4.770000082651774,0.9866666666666668,0.9866666666666668,4192.0,4320.0,1988.333333333333,1988.333333333333,1988.333333333333,1988.333333333333,0.0,0.0,4064.0,29.608266666666665,119.6646,25.84333333333333,4160.0,24.883333333333336,22.16666666666667,,,,1874.333333333333,1.0,1875.333333333333,14707.333333333336
0,45,CHN,China,602,Zhejiang,10098,Hangzhou,H锟絥gzhou,???,,,1,Prefecture City,Unknown,Present,,8.960808,1.594394,3447,29.5,118.75,,,,-2.012499988079071,1190.5,,1111.25,,894.25,876.5,892.75,875.25,-0.4925000071525574,-2.044999957084656,-1.4350000023841858,0.141725,2000.0,2000.0,0.167925,0.15325,35.66749982833862,5857.997456054687,3112.279990234375,1463.1525134277344,3664.0,3664.0,2958.0,2958.0,440.0,,1222.85,,16724.0,287.5,1359.75,1359.75,1310.75,1310.75,1062.25,97.75,174.5,4550.0,4550.0,1.0,1.0,8.079999976158142,-0.469,9.8725,615.25,631.25,1592.959998779297,0.005,42.204996948242204,34.12749786376955,43.02500047683716,827.5,100.5,860.0,860.0,954.0,593.5,593.5,56.900000190734865,56.75,6.5,6.5,13.2,13.2,0.017499999832361942,-2.562500011920929,,,44.21000003814697,,0.185,0.185,32.78250122070314,10.0,10.0,30.925,30.035,2803.4425030517586,11.637503051757832,608.6974978637695,19.045007324218773,292.0850021362305,32.67750549316408,,18.775,,21.0,21.0,,,,,,,,,-74.35,21.0,21.0,21.0,29.75,32.2,31.105,4.0,4.0,-2.2475,-1.4625,67.0825,63.2775,102.605,43.79,57.40000000000001,60.6875,61.9825,9.999999988079072,3.342500011920929,10.212499933242796,7.235000081062317,4.692499971389769,4.472499947547913,4.250000042915343,1.1800000000000002,1.1800000000000002,4096.0,4624.0,1419.5,1419.5,1419.5,1419.5,0.0,0.0,4000.0,29.599275,118.89195,15.67,4528.0,22.055,20.1725,,,,1306.0,0.9975,1306.25,12355.0
0,45,CHN,China,602,Zhejiang,10098,Hangzhou,H锟絥gzhou,???,,,1,Prefecture City,Unknown,Present,,8.960808,1.594394,3448,29.5,119.0,,,,-1.3799999952316284,248.0,,827.0,,1281.0,1330.0,1281.0,1330.0,-3.890000104904175,-9.739999771118164,-3.3199999332427983,0.1084,,,0.1196,0.1074,23.540000915527344,5874.72998046875,3124.199951171875,1467.6400146484375,,,,,38.0,,1590.9,,16828.0,265.0,1919.0,1919.0,1875.0,1875.0,827.0,25.0,161.0,3728.0,3728.0,1.0,1.0,6.940000057220459,-0.3844,7.93,731.0,733.0,2154.72998046875,0.009999999776482582,43.990014648437516,37.05001220703127,43.400001525878906,830.0,99.0,807.0,807.0,998.0,650.0,650.0,39.0,48.0,7.1,7.1,8.3,8.3,0.019999999552965164,-1.6299999952316284,,,27.60000038146973,,0.2,0.2,36.17998657226565,,,35.8,32.97,-1.7500061035156025,13.249993896484401,22.749993896484398,20.249993896484398,285.1000061035156,37.85000000000002,,20.0,,16.0,16.0,19.0,19.0,,,,,,,-75.9,19.0,19.0,19.0,38.0,38.1,34.42,10.0,10.0,-4.2,-1.19,74.81,75.2,89.25,95.07,78.45,76.28,75.85,2.890000104904175,3.509999990463257,5.480000019073486,6.579999923706055,5.360000133514403,4.96999979019165,4.739999771118164,1.69,1.69,4384.0,4416.0,1096.0,1096.0,1096.0,1096.0,0.0,0.0,4384.0,29.5492,119.2074,18.82,4320.0,34.93,21.14,,,,999.0,1.0,999.0,13904.0
0,45,CHN,China,602,Zhejiang,10098,Hangzhou,H锟絥gzhou,???,,,1,Prefecture City,Unknown,Present,,8.960808,1.594394,3446,29.5,118.5,,,,-1.447999995946884,609.4,,950.4,,1094.2,1091.6,1094.2,1091.6,-9.843999926000834,-18.67200040817261,-9.84200003296137,0.07221999999999999,,,0.0925,0.0763,27.675999641418453,5854.76005859375,3112.665966796875,1461.189990234375,,,,,463.4,,1341.3200000000004,,16329.8,401.6,1543.6,1543.6,1428.4,1428.4,1192.4,101.2,225.2,4420.4,4420.4,1.0,1.0,6.766000080108642,-0.48223999999999995,9.56,684.2,685.6,1808.9199951171875,0.0019999999552965165,42.3820007324219,35.614001464843774,42.46999969482422,813.6,107.2,842.0,842.0,951.8,603.2,603.2,44.66600036621094,53.4,7.44,7.44,11.38,11.38,0.017999999597668646,-1.8179999858140945,,,26.689999771118163,,0.18000000000000002,0.18000000000000002,34.36399536132815,,,31.360000000000007,30.764,-2.835998535156228,11.79600219726565,21.231994628906268,20.103997802734398,291.4320007324219,35.244006347656274,,18.06,,19.6,19.6,20.0,20.0,,,,,,,-71.85999999999999,20.4,20.4,20.4,34.8,32.66,31.892,5.2,5.2,-1.8680000000000003,-0.7120000000000001,43.506,43.57,131.03799999999998,60.70800000000001,41.77200000000001,42.76199999999999,43.05800000000001,2.252000045776368,2.7039999961853023,10.654000091552737,7.000000095367431,3.7699999332427985,3.5539999961853033,3.4019999742507934,1.286,1.286,4096.0,2508.8,796.2,796.2,796.2,796.2,0.0,0.0,4000.0,29.63488,118.57052,45.778,2412.8,22.809999999999995,20.396,,,,665.6,1.0,665.6,28525.0
0,45,CHN,China,602,Zhejiang,10098,Hangzhou,H锟絥gzhou,???,,,1,Prefecture City,Unknown,Present,,8.960808,1.594394,3520,29.75,119.0,,,,-1.897999995350838,646.0,,846.2,,1136.6,1147.2,1136.6,1147.2,-20.571999964118003,-28.81199996471405,-25.714999914169308,0.21738000000000002,1923.5,1923.5,0.39876,0.24031999999999998,38.08400032043457,5848.024046875,3110.2159765625,1461.88998828125,4157.0,4157.0,3132.5,3132.5,448.8,,959.04,,16478.6,403.2,1726.8,1726.8,1330.2,1330.2,1311.4,61.8,192.6,7438.4,7438.4,1.0,1.0,8.266000164031983,-0.5154,13.710000000000004,490.8,493.4,1322.7220007324215,0.15999999833106995,41.77599560546877,33.51000488281252,43.81999992370604,853.0,104.6,824.6,824.6,953.6,418.2,418.2,59.566000061035155,65.2,7.039999999999999,7.039999999999999,21.98,21.98,0.01799999968707561,-2.32799998998642,,,34.447500109672546,,0.22400000000000006,0.22400000000000006,31.881998291015645,5.5,5.5,29.6,28.77,1117.2899953613287,11.250001220703146,254.05199389648436,19.93500671386721,288.72799560546866,30.83600219726565,,20.08,,17.8,17.8,19.5,19.5,-29.5,-29.5,-6.5,-6.5,-1.0,-1.0,-73.78,18.8,18.8,18.8,29.8,30.660000000000004,29.668000000000003,-18.0,-18.0,-2.334,-1.3219999999999998,63.15,56.95799999999999,143.624,68.08400000000002,57.00400000000001,96.204,55.62000000000001,5.814000005722046,2.9180000085830686,8.805999897003174,6.783999950408934,4.872000049591064,20.880000331878666,3.6060000057220463,1.2,1.2,4038.4,4524.8,3218.8,3218.8,2974.0,2974.0,244.8,244.8,4000.0,29.881760000000003,119.14753999999999,19.048,4486.4,23.105999999999998,20.584,,,,2003.4,1.0,2003.4,13142.6
0,45,CHN,China,602,Zhejiang,10098,Hangzhou,H锟絥gzhou,???,,,1,Prefecture City,Unknown,Present,,8.960808,1.594394,3521,29.75,119.25,,,,-1.2866666456063591,879.5,,939.5,,728.5,744.0,659.0,688.8333333333335,-1.0916666525105636,-2.073333318034808,-1.3600000068545346,0.21325,2523.0,2338.2,0.29740000000000005,0.23301666666666676,35.836666730244964,5855.749970703125,3111.9750048828123,1463.161669921875,5443.4,5443.4,4150.2,4088.0,291.1666666666667,,1141.8000000000004,,16623.5,327.8333333333333,2087.333333333333,2282.5,1718.666666666667,1820.833333333333,830.5,24.83333333333333,162.16666666666666,9195.5,9195.5,1.0,1.0,7.868333431879679,-0.4982166666666668,17.733333333333334,427.66666666666674,446.33333333333326,1508.5649861653644,0.013333333457509677,41.90667236328128,34.038333129882844,46.531666692097986,850.8333333333335,102.0,793.6666666666665,775.0,970.3333333333335,346.33333333333326,346.33333333333326,57.533333587646496,60.0,7.649999999999999,7.133333333333333,26.95,26.95,0.01833333299805721,-1.7983333744108683,,,16.396000015735627,,0.30666666666666664,0.3316666666666667,32.658329264322944,-0.6,-0.6,31.183333333333334,29.40333333333333,928.483332519532,11.368331909179707,213.46666666666667,20.64600219726565,288.9949981689453,32.62000528971356,,19.816666666666666,,10.833333333333336,10.666666666666666,15.333333333333336,13.333333333333336,-22.0,-22.0,-9.666666666666666,-9.666666666666666,,,-74.31666666666666,15.166666666666664,16.166666666666668,15.166666666666664,31.33333333333333,32.95,30.64333333333333,-25.83333333333333,-25.83333333333333,-1.403333333333333,-1.6316666666666668,54.745,46.215,160.38333333333333,142.72333333333333,38.821666666666665,77.60333333333334,44.53666666666667,5.4700000405311595,2.758333378632864,7.381666634877522,5.933333336512248,4.138333330154419,12.925000143051147,3.6133333492279056,1.5466666666666669,1.6383333333333334,4144.0,2880.0,2074.833333333333,2074.833333333333,2063.5,2063.5,11.333333333333336,11.333333333333336,3984.0,29.850966666666668,119.33386666666668,54.21666666666667,2784.0,21.57333333333333,21.83,,,,1891.833333333333,0.94,1965.333333333333,25722.33333333333
0,45,CHN,China,602,Zhejiang,10098,Hangzhou,H锟絥gzhou,???,,,1,Prefecture City,Unknown,Present,,8.960808,1.594394,3522,29.75,119.5,,,,-1.1687500134110451,799.625,,907.5,,889.375,897.0,953.625,967.375,-1.0600000000558794,-3.006249987985939,-1.2085714220468486,0.17773750000000002,2051.333333333333,2051.333333333333,0.2710625,0.196025,40.46250024795532,5874.020009765625,3126.108748779297,1474.5637481689453,5179.333333333333,5179.333333333333,3794.0,3794.0,307.25,,1303.675,,16678.25,208.0,1964.0,1964.0,1627.875,1627.875,921.875,8.25,166.25,5506.625,5506.625,1.0,1.0,8.692499952316284,-0.5061625000000001,11.0425,453.125,460.5,1626.4862432861328,0.00874999980442226,42.773748474121106,34.08124923706057,46.81124992370604,833.625,101.25,805.75,805.75,969.625,556.75,556.75,49.92499980926514,55.375,6.7,6.7,14.6625,14.6625,0.017499999664723875,-1.5875000238418582,,,19.61000006539481,,0.285,0.27375,33.447496795654324,1.6666666666666667,1.6666666666666667,32.1875,32.81875,698.0549996948247,12.151255035400412,166.61250152587886,20.889999825613863,288.8650039672852,34.652498626709004,,19.2375,,17.0,17.0,14.5,14.5,-45.0,-37.0,-9.0,-9.0,,,-75.03750000000002,17.625,17.625,17.625,31.375,33.875,34.6375,-2.625,-2.625,-1.745,-1.27,44.80625,39.06875,147.08875,127.1075,44.905,72.75,40.15375,4.586249983310699,3.4962500083446497,7.366250109523536,6.560000066757202,4.583750033378601,10.707500097751618,4.596249946355821,1.46625,1.46625,3916.0,3444.0,2055.0,2055.0,1714.75,1714.75,340.25,340.25,3832.0,29.881187500000006,119.6702875,70.77250000000002,3348.0,17.365000000000002,21.385,,,,1572.625,0.975,1637.875,21492.375
0,45,CHN,China,602,Zhejiang,10098,Hangzhou,H锟絥gzhou,???,,,1,Prefecture City,Unknown,Present,,8.960808,1.594394,3519,29.75,118.75,,,,-0.35599999666213994,535.6,,895.6,,1188.4,1166.4,1188.4,1166.4,-2.197999930381775,-4.770000004768372,-2.6600000560283656,0.13943999999999998,3692.0,3692.0,0.16812,0.1459,38.24999954223632,5853.9720937500015,3110.706064453125,1464.9759990234375,5850.0,5850.0,4972.0,4972.0,550.4,,1137.8200000000004,,16591.6,437.4,1469.4,1469.4,1273.2,1273.2,1291.0,108.4,211.0,4874.6,4874.6,1.0,1.0,7.112000072479247,-0.5338799999999999,9.85,640.0,647.0,1687.3660009765622,0.012000000149011612,41.632001464843775,34.522004394531265,40.54,825.2,102.4,849.0,849.0,942.2,567.2,567.2,50.78,59.2,6.92,6.92,12.28,12.28,0.01799999968707561,-0.7699999901652336,,,48.97750043869018,,0.168,0.168,33.00199340820315,-2.0,-2.0,29.8,29.514,1118.2960012207036,11.119996337890646,254.35400195312496,19.222497558593773,291.41600219726564,33.19800170898439,,18.52,,20.0,20.0,,,,,,,,,-73.22,20.0,20.0,20.0,32.0,30.9,30.85,2.6,2.6,-1.21,-0.8620000000000001,65.46,57.873999999999995,96.892,95.904,50.46,96.28,56.24399999999999,5.484000010490417,2.546000029563904,10.708000038146976,7.008000022888182,3.6319999923706057,14.382000186920164,3.1719999904632568,1.144,1.144,3980.8,3782.4,1414.8,1414.8,1414.8,1414.8,0.0,0.0,3865.6,29.833540000000003,118.8653,22.072,3686.4,18.136,20.854,,,,1283.2,0.998,1285.0,18885.2
0,45,CHN,China,602,Zhejiang,10098,Hangzhou,H锟絥gzhou,???,,,1,Prefecture City,Unknown,Present,,8.960808,1.594394,3591,30.0,119.25,,,,-1.344999998807907,753.0,,935.75,,723.5,757.0,723.75,757.0,-0.4699999997392297,-3.182500049471855,-1.160000005736947,0.1708,2000.0,2000.0,0.3619000000000001,0.17932499999999998,34.09749984741211,5853.3824462890625,3108.6124877929688,1458.7599792480469,5395.0,5395.0,3717.5,3717.5,469.0,,952.925,,16261.75,334.25,2245.5,2245.5,1630.75,1630.75,1122.75,39.0,195.5,5295.5,5295.5,1.0,1.0,9.307500004768373,-0.4281,11.48,467.75,473.25,1369.1225090026855,0.1149999969638884,42.0049987792969,32.699998474121124,47.88750076293945,852.5,108.25,780.0,780.0,951.25,540.25,540.25,59.35000038146973,66.0,9.475,9.475,16.925,16.925,0.019999999552965164,-0.935000002384186,,,46.24250054359436,,0.2725,0.2725,31.460000610351585,0.0,0.0,29.175,28.9775,-2.282492065429665,11.45750579833987,19.837503051757835,20.794999694824238,293.1824951171875,31.729997253417984,,19.7,,12.75,12.75,14.5,14.5,,,-4.5,-4.5,3.0,3.0,-70.9,16.75,16.75,16.75,24.75,29.9,29.855,0.25,0.25,-1.475,-1.1449999999999998,48.42,47.7525,132.1825,111.735,48.63999999999999,47.505,45.56,1.9950000345706933,2.3125,12.40999984741211,6.7225000858306885,3.409999966621399,3.38249996304512,3.125,1.47,1.47,4024.0,2472.0,3697.75,3697.75,2647.0,2647.0,1050.75,1050.75,3952.0,30.09285,119.290475,19.745,2304.0,20.7925,19.6875,,,,1568.75,0.9975,1574.0,28882.0
